,Account Name: Account Name,count,Order_Won,min,max,mean,sum,Bundle,Cloud : New,Cloud : Renewal,Hardware : FRUs,Hardware : Stations,Other Services : CPaaS,Other Services : Validation,Other Support Services : Activation,Warranty : Assure,Warranty : Assure Renewal,LastPurchase,FirstPurchase,output(kW)
0,"""An der Alten Försterei"" Stadionsbetriebs AG",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,412,0.0
1,#1 Cochran Automotive Group,13,11,0.0,305484.0,73911.92307692308,960855.0,11.0,128130.0,0.0,1710.0,570807.5,0.0,4200.0,1047.0,230912.0,0.0,118,443,706.6
2,(add)ventures,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,320,0.0
3,*STRATEGIC* CVS Health - HQ,5,5,4238.0,101318.0,28739.6,143698.0,0.0,30578.0,0.0,0.0,65280.0,0.0,0.0,0.0,46310.0,0.0,328,373,62.5
4,"*STRATEGIC* DownEast Renewable Energy, LLC",1,1,382372.0,382372.0,382372.0,382372.0,0.0,25196.0,0.0,0.0,94608.0,0.0,0.0,0.0,49614.0,0.0,282,282,1100.0
5,*STRATEGIC* HIG-Hartford,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,381,0.0
6,"*STRATEGIC* Starwood Hotels & Resorts Worldwide, LLC",2,1,0.0,1039.0,519.5,1039.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,222,650,0.0
7,"*STRATEGIC* Textron, Inc.",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,200,0.0
8,"*Strategic* City Light & Power, Inc.",4,1,0.0,7611.0,1902.75,7611.0,1.0,586.0,0.0,79.0,6649.0,0.0,0.0,297.0,0.0,0.0,200,320,43.2
9,*Strategic* Rose Associates,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,201,0.0
10,0813212 B.C. Ltd. c/o GWL Realty Advisors Inc.,1,1,4283.2,4283.2,4283.2,4283.2,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,2515.2,0.0,323,323,0.0
11,1 AMD Place,2,1,0.0,7512.0,3756.0,7512.0,1.0,560.0,0.0,54.5,5408.0,0.0,509.0,297.0,629.0,0.0,534,587,7.2
12,"1 Hotel South Beach, Inc.",1,1,1253.0,1253.0,1253.0,1253.0,0.0,0.0,218.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,199.33333333333334,302,302,0.0
13,1 Hotel West Hollywood,1,1,3176.0,3176.0,3176.0,3176.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,582,582,0.0
14,"1 Shoreway Owner, LLC",1,1,2930.0,2930.0,2930.0,2930.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,189,189,0.0
15,1 Stop Generator Shop,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446,446,0.0
16,1 Sun Solar,1,1,580.0,580.0,580.0,580.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541,541,0.0
17,10 Rittenhouse Square Condominium Association,2,2,1316.0,1380.0,1348.0,2696.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,629,0.0
18,100 Above the Park,1,1,1398.0,1398.0,1398.0,1398.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,425,425,0.0
19,100 Bellevue Place,1,1,5133.0,5133.0,5133.0,5133.0,0.0,0.0,1319.0,0.0,0.0,0.0,0.0,0.0,2495.0,0.0,636,636,0.0
20,100 Central Condominium A,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589,589,0.0
21,100 Connell Dr,1,1,23012.0,23012.0,23012.0,23012.0,3.0,1758.0,0.0,180.0,17517.0,0.0,509.0,891.0,1977.0,0.0,226,226,21.6
22,100 Crowley Drive,2,2,658.0,690.0,674.0,1348.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,569,0.0
23,100 First Street Association,2,2,658.0,690.0,674.0,1348.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,628,0.0
24,1000 Broadway,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,236,0.0
25,1000 Condo Association,1,1,4273.0,4273.0,4273.0,4273.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,0.0,2495.0,0.0,653,653,0.0
26,1001 South State,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291,291,0.0
27,1001 W. Chicago Ave.,2,2,2150.0,2632.0,2391.0,4782.0,0.0,0.0,329.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,377,387,0.0
28,101 Cheswold Lane Condo Assn,1,1,12033.0,12033.0,12033.0,12033.0,1.0,2354.0,0.0,100.0,7352.0,0.0,0.0,0.0,2227.0,0.0,112,112,7.2
29,101 Fuel Stop GP,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,381,0.0
30,101 Lombard Street Condominium Association,2,1,0.0,3789.0,1894.5,3789.0,0.0,0.0,345.0,0.0,0.0,2640.0,0.0,0.0,0.0,459.0,157,200,0.0
31,101 Smith Place,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,200,0.0
32,10100 Santa Monica Inc.,2,1,0.0,1075.0,537.5,1075.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,442,539,0.0
33,"1017 LAKE AVE , LLC",3,2,0.0,10800.0,7200.0,21600.0,2.0,0.0,0.0,0.0,0.0,4320.0,0.0,0.0,0.0,0.0,181,232,14.4
34,1040 Central Ave Townhomes,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
35,1050 Notre Dame,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
36,"10505 Glenoaks Land, LLC",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504,504,0.0
37,"1055 East Colorado - Pasadena, Ca, L.P.",2,1,0.0,8214.0,4107.0,8214.0,1.0,1120.0,0.0,0.0,6500.0,0.0,0.0,594.0,0.0,0.0,373,404,14.4
38,1060 Brickell Condominium,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,449,0.0
39,1066 Market Street,1,1,5473.0,5473.0,5473.0,5473.0,1.0,280.0,0.0,0.0,3758.0,0.0,509.0,297.0,629.0,0.0,630,630,7.2
40,109-115 Sewall Condominium Assn.,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,320,0.0
41,10951 National Blvd,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,320,0.0
42,"10x Genomics, Inc.",2,2,350.0,400.0,375.0,750.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,194,194,43.2
43,11 Lincoln Street,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,384,0.0
44,11 West,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,509,0.0
45,110 Simmonds Dr,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,131,0.0
46,110 West Superior Condos,1,1,509.0,509.0,509.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,125,125,0.0
47,1100 Market Parking Operator,2,2,700.0,975.0,837.5,1675.0,0.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,338,338,0.0
48,1100 Millecento Residences Condominium Association,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595,595,0.0
49,1101 West El Camino HOA Sares Regis,2,1,0.0,1250.0,625.0,1250.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,300,381,0.0
50,111 S. Wacker JLL,1,1,9670.0,9670.0,9670.0,9670.0,0.0,0.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,273,0.0
51,"111 South Wacker, LLC",4,4,375.0,1775.0,1398.75,5595.0,0.0,0.0,0.0,2235.0,1400.0,0.0,0.0,0.0,0.0,0.0,119,343,7.2
52,"1110 Brickell Condominium Association, Inc.",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579,579,0.0
53,11265 Goodnight Lane,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
54,1140 E Cliff Drive LLC,2,2,1412.0,1465.0,1438.5,2877.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.0,205,588,0.0
55,1144 Fifteenth Partners LLC,1,1,3450.0,3450.0,3450.0,3450.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,252,0.0
56,1145 Hilda Street,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626,626,0.0
57,1151 Sunset Drive,1,1,840.0,840.0,840.0,840.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,233,0.0
58,1158 W3 LLC,2,2,9709.0,158694.0,84201.5,168403.0,1.0,12552.0,0.0,68.0,43846.0,0.0,0.0,594.0,23315.5,0.0,114,126,557.2
59,1160 Hammond,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,114,0.0
60,118 Nostrand LLC,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391,391,0.0
61,"120 Clay Development LLC,",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,362,0.0
62,120 Hartsdale Corp,1,1,690.0,690.0,690.0,690.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,113,0.0
63,120 Ninth St Apartments,2,2,700.0,1380.0,1040.0,2080.0,0.0,0.0,345.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,230,422,0.0
64,120 Vantis,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442,442,0.0
65,1200 California Street,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,576,0.0
66,1201 Third Avenue Limited Partnership,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,236,0.0
67,12100 Wilshire Blvd,2,2,658.0,690.0,674.0,1348.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,573,0.0
68,"1230 Peachtree Associates LLC c/o Cousins Properties, LLC",1,1,10200.0,10200.0,10200.0,10200.0,1.0,0.0,0.0,0.0,0.0,2040.0,0.0,0.0,0.0,0.0,322,322,7.2
69,1250 Missouri Street Owners,1,1,785.0,785.0,785.0,785.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,148,148,0.0
70,1250 S Pearl Street,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
71,1255 22nd St. Limited Partnership,2,2,1974.0,2150.0,2062.0,4124.0,0.0,0.0,329.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,330,377,0.0
72,1275 Park View,1,1,35169.0,35169.0,35169.0,35169.0,5.0,2800.0,0.0,190.0,27040.0,0.0,509.0,1485.0,3145.0,0.0,419,419,36.0
73,1288 McAllister St,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
74,1300 Fairmont LLC,1,1,136880.0,136880.0,136880.0,136880.0,1.0,26380.0,0.0,725.0,72100.0,0.0,12000.0,0.0,24950.0,0.0,385,385,72.0
75,1300 Fourth St Associates LP,1,1,658.0,658.0,658.0,658.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,363,0.0
76,"1301 Dove Owner, LLC",1,1,560.0,560.0,560.0,560.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,308,0.0
77,1340 E Hillcrest Dr,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
78,1350 Ala Moana Blvd,1,1,6251.0,6251.0,6251.0,6251.0,1.0,1121.0,0.0,0.0,3259.0,0.0,0.0,0.0,1871.0,0.0,415,415,7.2
79,1350 Boylston Street Apts Skanska,2,2,300.0,1316.0,808.0,1616.0,0.0,0.0,329.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,434,610,0.0
80,1353 Fuller HOA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595,595,0.0
81,137845 Canada Inc,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,0.0
82,1401 Rosa Parks Blvd LLC,1,1,1316.0,1316.0,1316.0,1316.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,295,0.0
83,1401 Rt 52 LLC,1,1,10200.0,10200.0,10200.0,10200.0,1.0,0.0,0.0,0.0,0.0,2040.0,0.0,0.0,0.0,0.0,300,300,7.2
84,1408 Strathmore Mews,1,1,6180.0,6180.0,6180.0,6180.0,0.0,713.6,0.0,28.8,4771.2,0.0,0.0,0.0,666.4,0.0,211,211,7.2
85,1414 Texas Downtown,3,3,250.0,690.0,532.6666666666666,1598.0,0.0,0.0,674.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,261,629,0.0
86,1415 Indiana St HOA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595,595,0.0
87,1419 Montrose Blvd,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
88,144 Addison,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,201,0.0
89,1441 U Street LLC d/b/a Sonnet Apartments,1,1,658.0,658.0,658.0,658.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344,344,0.0
90,1443 Beacon Street Apartments,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628,628,0.0
91,145 Front at City Square,1,1,750.0,750.0,750.0,750.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,380,380,0.0
92,1455 Duchess Avenue,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
93,"148 Valley, LLC",3,3,325.0,1512.0,795.6666666666666,2387.0,0.0,0.0,756.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,266,462,0.0
94,14forty,4,2,0.0,27760.809999999998,8856.4175,35425.67,2.0,2856.7599999999998,0.0,0.0,14363.51,0.0,0.0,741.89,3314.865,0.0,116,523,155.0
95,"14th Peachtree Apartments Holdings, LLC",2,2,1752.0,1840.0,1796.0,3592.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,628,0.0
96,"150 Seaport, LLC",2,1,0.0,96390.0,48195.0,96390.0,1.0,0.0,0.0,0.0,0.0,19278.0,0.0,0.0,0.0,0.0,111,200,64.8
97,1500 Lake Shore Drive Building Corp,2,2,650.0,658.0,654.0,1308.0,0.0,0.0,329.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,456,558,0.0
98,15111 Burbank,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613,613,0.0
99,1515 VEG,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566,566,0.0
100,1516 Second Ave,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
101,15301 Spectrum Dr. Addison Texas,1,1,5307.0,5307.0,5307.0,5307.0,1.0,293.0,0.0,0.0,4058.0,0.0,0.0,297.0,659.0,0.0,155,155,7.2
102,1540 El Camino Real,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
103,1541 and 1545 Wilshire SEIU 721 Holdings,1,1,725.0,725.0,725.0,725.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,551,551,0.0
104,1564 Tanglewood Lane,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,412,0.0
105,1600 Museum Park Condominium Association,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,351,0.0
106,1600 Vine,2,2,725.0,10824.0,5774.5,11549.0,0.0,0.0,205.0,325.0,0.0,0.0,0.0,0.0,0.0,492.0,321,551,0.0
107,1601 Commercial,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
108,1601 Martinsburg Pike LLC,1,1,250.0,250.0,250.0,250.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,369,369,0.0
109,1601 Studio,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
110,1624 Filbert HOA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442,442,0.0
111,1660 N Lassalle,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274,274,0.0
112,"1699 HPR, LLC",1,1,4194.0,4194.0,4194.0,4194.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,449,449,0.0
113,1740 Cesar Chavez - Portrero Business Center,3,3,345.0,750.0,525.6666666666666,1577.0,0.0,0.0,827.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,114,524,0.0
114,1749 Route 9,1,1,1714.0,1714.0,1714.0,1714.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,443,443,0.0
115,1751 RICHARDSON INC,1,1,4057.6,4057.6,4057.6,4057.6,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4,316,316,0.0
116,1760 Leila Avenue,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397,397,0.0
